datetime,net_load_before_pv,pv,net_load_after_pv
6/22/20 0:00,1328,0,1328
6/22/20 1:00,1208,0,1208
6/22/20 2:00,1254,0,1254
6/22/20 3:00,1188,0,1188
6/22/20 4:00,1090,0,1090
6/22/20 5:00,1126,0,1126
6/22/20 6:00,1186,88,1098
6/22/20 7:00,849,103,746
6/22/20 8:00,1042,584,458
6/22/20 9:00,2299,1099,1200
6/22/20 10:00,2462,686,1776
6/22/20 11:00,3435,513,2922
6/22/20 12:00,2227,507,1720
6/22/20 13:00,2203,421,1782
6/22/20 14:00,1567,791,776
6/22/20 15:00,1293,187,1106
6/22/20 16:00,2447,649,1798
6/22/20 17:00,1637,273,1364
6/22/20 18:00,1492,110,1382
6/22/20 19:00,1446,0,1446
6/22/20 20:00,1532,0,1532
6/22/20 21:00,1694,0,1694
6/22/20 22:00,1512,0,1512
6/22/20 23:00,1460,0,1460